INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1295 inline 8-bit counters): 1295 [0x561a3f8954b0, 0x561a3f8959bf), 
INFO: Loaded 1 PC tables (1295 PCs): 1295 [0x561a3f8959c0,0x561a3f89aab0), 
INFO: -fork=1: fuzzing in separate process(s)
#42954: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42953 time: 3593s job: 42954 dft_time: 0
==3680187== ERROR: libFuzzer: fuzz target exited
#42955: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42954 time: 3593s job: 42955 dft_time: 0
==3680295== ERROR: libFuzzer: fuzz target exited
#42956: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42955 time: 3594s job: 42956 dft_time: 0
==3680386== ERROR: libFuzzer: fuzz target exited
#42957: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42956 time: 3594s job: 42957 dft_time: 0
==3680495== ERROR: libFuzzer: fuzz target exited
#42958: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42957 time: 3594s job: 42958 dft_time: 0
==3680597== ERROR: libFuzzer: fuzz target exited
#42959: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42958 time: 3594s job: 42959 dft_time: 0
==3680717== ERROR: libFuzzer: fuzz target exited
#42960: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42959 time: 3594s job: 42960 dft_time: 0
==3680826== ERROR: libFuzzer: fuzz target exited
#42961: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42960 time: 3594s job: 42961 dft_time: 0
==3680923== ERROR: libFuzzer: fuzz target exited
#42962: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42961 time: 3594s job: 42962 dft_time: 0
==3681024== ERROR: libFuzzer: fuzz target exited
#42963: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42962 time: 3594s job: 42963 dft_time: 0
==3681148== ERROR: libFuzzer: fuzz target exited
#42964: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42963 time: 3594s job: 42964 dft_time: 0
==3681222== ERROR: libFuzzer: fuzz target exited
#42965: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42964 time: 3594s job: 42965 dft_time: 0
==3681303== ERROR: libFuzzer: fuzz target exited
#42966: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42965 time: 3594s job: 42966 dft_time: 0
==3681409== ERROR: libFuzzer: fuzz target exited
#42967: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42966 time: 3595s job: 42967 dft_time: 0
==3681509== ERROR: libFuzzer: fuzz target exited
#42968: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42967 time: 3595s job: 42968 dft_time: 0
==3681620== ERROR: libFuzzer: fuzz target exited
#42969: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42968 time: 3595s job: 42969 dft_time: 0
==3681682== ERROR: libFuzzer: fuzz target exited
#42970: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42969 time: 3595s job: 42970 dft_time: 0
==3681783== ERROR: libFuzzer: fuzz target exited
#42971: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42970 time: 3595s job: 42971 dft_time: 0
==3681900== ERROR: libFuzzer: fuzz target exited
#42972: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42971 time: 3595s job: 42972 dft_time: 0
==3681973== ERROR: libFuzzer: fuzz target exited
#42973: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42972 time: 3595s job: 42973 dft_time: 0
==3682107== ERROR: libFuzzer: fuzz target exited
#42974: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42973 time: 3595s job: 42974 dft_time: 0
==3682219== ERROR: libFuzzer: fuzz target exited
#42975: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42974 time: 3595s job: 42975 dft_time: 0
==3682351== ERROR: libFuzzer: fuzz target exited
#42976: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42975 time: 3595s job: 42976 dft_time: 0
==3682417== ERROR: libFuzzer: fuzz target exited
#42977: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42976 time: 3595s job: 42977 dft_time: 0
==3682499== ERROR: libFuzzer: fuzz target exited
#42978: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42977 time: 3595s job: 42978 dft_time: 0
==3682562== ERROR: libFuzzer: fuzz target exited
#42979: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42978 time: 3595s job: 42979 dft_time: 0
==3682654== ERROR: libFuzzer: fuzz target exited
#42980: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42979 time: 3596s job: 42980 dft_time: 0
==3682716== ERROR: libFuzzer: fuzz target exited
#42981: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42980 time: 3596s job: 42981 dft_time: 0
==3682788== ERROR: libFuzzer: fuzz target exited
#42982: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42981 time: 3596s job: 42982 dft_time: 0
==3682886== ERROR: libFuzzer: fuzz target exited
#42983: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42982 time: 3596s job: 42983 dft_time: 0
==3682986== ERROR: libFuzzer: fuzz target exited
#42984: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42983 time: 3596s job: 42984 dft_time: 0
==3683072== ERROR: libFuzzer: fuzz target exited
#42985: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42984 time: 3596s job: 42985 dft_time: 0
==3683198== ERROR: libFuzzer: fuzz target exited
#42986: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42985 time: 3596s job: 42986 dft_time: 0
==3683275== ERROR: libFuzzer: fuzz target exited
#42987: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42986 time: 3596s job: 42987 dft_time: 0
==3683354== ERROR: libFuzzer: fuzz target exited
#42988: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42987 time: 3596s job: 42988 dft_time: 0
==3683476== ERROR: libFuzzer: fuzz target exited
#42989: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42988 time: 3596s job: 42989 dft_time: 0
==3683601== ERROR: libFuzzer: fuzz target exited
#42990: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42989 time: 3596s job: 42990 dft_time: 0
==3683691== ERROR: libFuzzer: fuzz target exited
#42991: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42990 time: 3596s job: 42991 dft_time: 0
==3683770== ERROR: libFuzzer: fuzz target exited
#42992: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42991 time: 3597s job: 42992 dft_time: 0
==3683839== ERROR: libFuzzer: fuzz target exited
#42993: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42992 time: 3597s job: 42993 dft_time: 0
==3683980== ERROR: libFuzzer: fuzz target exited
#42994: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42993 time: 3597s job: 42994 dft_time: 0
==3684048== ERROR: libFuzzer: fuzz target exited
#42995: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42994 time: 3597s job: 42995 dft_time: 0
==3684153== ERROR: libFuzzer: fuzz target exited
#42996: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42995 time: 3597s job: 42996 dft_time: 0
==3684236== ERROR: libFuzzer: fuzz target exited
#42997: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42996 time: 3597s job: 42997 dft_time: 0
==3684333== ERROR: libFuzzer: fuzz target exited
#42998: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42997 time: 3597s job: 42998 dft_time: 0
==3684443== ERROR: libFuzzer: fuzz target exited
#42999: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42998 time: 3597s job: 42999 dft_time: 0
==3684512== ERROR: libFuzzer: fuzz target exited
#43000: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/42999 time: 3597s job: 43000 dft_time: 0
==3684646== ERROR: libFuzzer: fuzz target exited
#43001: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43000 time: 3597s job: 43001 dft_time: 0
==3684776== ERROR: libFuzzer: fuzz target exited
#43002: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43001 time: 3597s job: 43002 dft_time: 0
==3684899== ERROR: libFuzzer: fuzz target exited
#43003: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43002 time: 3598s job: 43003 dft_time: 0
==3685030== ERROR: libFuzzer: fuzz target exited
#43004: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43003 time: 3598s job: 43004 dft_time: 0
==3685164== ERROR: libFuzzer: fuzz target exited
#43005: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43004 time: 3598s job: 43005 dft_time: 0
==3685232== ERROR: libFuzzer: fuzz target exited
#43006: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43005 time: 3598s job: 43006 dft_time: 0
==3685353== ERROR: libFuzzer: fuzz target exited
#43007: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43006 time: 3598s job: 43007 dft_time: 0
==3685427== ERROR: libFuzzer: fuzz target exited
#43008: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43007 time: 3598s job: 43008 dft_time: 0
==3685534== ERROR: libFuzzer: fuzz target exited
#43009: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43008 time: 3598s job: 43009 dft_time: 0
==3685635== ERROR: libFuzzer: fuzz target exited
#43010: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43009 time: 3598s job: 43010 dft_time: 0
==3685715== ERROR: libFuzzer: fuzz target exited
#43011: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43010 time: 3598s job: 43011 dft_time: 0
==3685833== ERROR: libFuzzer: fuzz target exited
#43012: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43011 time: 3598s job: 43012 dft_time: 0
==3685937== ERROR: libFuzzer: fuzz target exited
#43013: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43012 time: 3598s job: 43013 dft_time: 0
==3686035== ERROR: libFuzzer: fuzz target exited
#43014: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43013 time: 3598s job: 43014 dft_time: 0
==3686140== ERROR: libFuzzer: fuzz target exited
#43015: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43014 time: 3599s job: 43015 dft_time: 0
==3686241== ERROR: libFuzzer: fuzz target exited
#43016: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43015 time: 3599s job: 43016 dft_time: 0
==3686336== ERROR: libFuzzer: fuzz target exited
#43017: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43016 time: 3599s job: 43017 dft_time: 0
==3686440== ERROR: libFuzzer: fuzz target exited
#43018: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43017 time: 3599s job: 43018 dft_time: 0
==3686562== ERROR: libFuzzer: fuzz target exited
#43019: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43018 time: 3599s job: 43019 dft_time: 0
==3686650== ERROR: libFuzzer: fuzz target exited
#43020: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43019 time: 3599s job: 43020 dft_time: 0
==3686745== ERROR: libFuzzer: fuzz target exited
#43021: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43020 time: 3599s job: 43021 dft_time: 0
==3686830== ERROR: libFuzzer: fuzz target exited
#43022: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43021 time: 3599s job: 43022 dft_time: 0
==3686941== ERROR: libFuzzer: fuzz target exited
#43023: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43022 time: 3599s job: 43023 dft_time: 0
==3687085== ERROR: libFuzzer: fuzz target exited
#43024: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43023 time: 3599s job: 43024 dft_time: 0
==3687207== ERROR: libFuzzer: fuzz target exited
#43025: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43024 time: 3599s job: 43025 dft_time: 0
==3687312== ERROR: libFuzzer: fuzz target exited
#43026: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/43025 time: 3600s job: 43026 dft_time: 0
==3687410== ERROR: libFuzzer: fuzz target exited
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
