c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
uivector_resize,lodepng.c,231,"(p: uivector *, size: size_t) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:231-244 uivector_resize(p: uivector *, size: size_t) -> unsigned int: grows data via lodepng_realloc (doubling allocsize), sets size, returns 1/0. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 76 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
uivector_init,lodepng.c,246,(p: uivector *) -> void,,,NO_MAP,,,uivector_init,uivector_init,0.375,-0.159,ABSTAIN,single-source,uivector_init,"lodepng.c:246-249 uivector_init(p): data = NULL; size = allocsize = 0 -> assembled_unidiomatic.rs:2348-2356 uivector_init: same three stores (rs:2353-2355). Deviation (RQ4): rs:2350-2352 adds a NULL guard that C lacks (defensive widening only). Genuine. Verified file (translated_code_unidiomatic/functions/uivector_init.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq uivector_init: correct. Forced matcher uivector_init (score 0.375, conf -0.159): correct. Deploy matcher ABSTAIN: coverage loss only."
uivector_push_back,lodepng.c,252,"(p: uivector *, c: unsigned int) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:252-256 uivector_push_back(p: uivector *, c: unsigned int) -> unsigned int: uivector_resize(size+1) then stores c at the end. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 112 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
ucvector_reserve,lodepng.c,270,"(p: ucvector *, size: size_t) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:270-281 ucvector_reserve(p: ucvector *, size: size_t) -> unsigned int: grows allocsize (doubling) via lodepng_realloc when size > allocsize, returns 1/0. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 77 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
ucvector_resize,lodepng.c,284,"(p: ucvector *, size: size_t) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:284-287 ucvector_resize(p: ucvector *, size: size_t) -> unsigned int: ucvector_reserve then p->size = size. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 113 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
ucvector_init,lodepng.c,289,"(buffer: unsigned char *, size: size_t) -> ucvector",,,NO_MAP,,,ucvector_init,ucvector_init,0.199,-0.26,ABSTAIN,single-source,ucvector_init,"lodepng.c:289-294 ucvector_init(buffer, size): v.data = buffer; v.allocsize = v.size = size; return v -> assembled_unidiomatic.rs:2334-2345 ucvector_init: builds a ucvector with data = buffer, allocsize = size, size = size, returns it by value. Identical; genuine. Verified file (translated_code_unidiomatic/functions/ucvector_init.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq ucvector_init: correct. Forced matcher ucvector_init (score 0.199, conf -0.26): correct. Deploy matcher ABSTAIN: coverage loss only."
string_cleanup,lodepng.c,302,(out: char **) -> void,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:302-305 string_cleanup(out: char **) -> void: lodepng_free(*out); *out = NULL. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 78 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
alloc_string_sized,lodepng.c,308,"(in: const char *, insize: size_t) -> char *",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:308-315 alloc_string_sized(in: const char *, insize: size_t) -> char *: malloc insize+1, lodepng_memcpy, NUL-terminate. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 79 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
alloc_string,lodepng.c,318,(in: const char *) -> char *,,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:318-320 alloc_string(in: const char *) -> char *: alloc_string_sized(in, lodepng_strlen(in)). Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 182 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
lodepng_read32bitInt,lodepng.c,327,(buffer: const unsigned char *) -> unsigned int,,,NO_MAP,,,lodepng_read32bitInt,lodepng_read32bitInt,0.379,-0.109,ABSTAIN,single-source,lodepng_read32bitInt,"lodepng.c:327-330 lodepng_read32bitInt(buffer): big-endian (b0<<24)|(b1<<16)|(b2<<8)|b3 -> assembled_unidiomatic.rs:2182-2189 lodepng_read32bitInt: same four shifts via buffer.offset(0..3). Identical; genuine. Verified file (translated_code_unidiomatic/functions/lodepng_read32bitInt.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_read32bitInt: correct. Forced matcher lodepng_read32bitInt (score 0.379, conf -0.109): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_set32bitInt,lodepng.c,335,"(buffer: unsigned char *, value: unsigned int) -> void",,,NO_MAP,,,lodepng_set32bitInt,lodepng_set32bitInt,0.227,-0.247,ABSTAIN,single-source,lodepng_set32bitInt,"lodepng.c:335-340 lodepng_set32bitInt(buffer, value): four big-endian byte stores -> assembled_unidiomatic.rs:2235-2242 lodepng_set32bitInt: same four stores in the same order. Identical; genuine. Verified file (translated_code_unidiomatic/functions/lodepng_set32bitInt.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_set32bitInt: correct. Forced matcher lodepng_set32bitInt (score 0.227, conf -0.247): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_filesize,lodepng.c,350,(filename: const char *) -> long,,,NO_MAP,,,lodepng_filesize,lodepng_filesize,0.2,-0.117,ABSTAIN,single-source,lodepng_filesize,"lodepng.c:350-367 lodepng_filesize(filename): fopen rb or -1; fseek SEEK_END or (fclose, -1); size = ftell; LONG_MAX -> -1; fclose; return size -> assembled_unidiomatic.rs:2113-2131 lodepng_filesize: same sequence (fopen, fseek(file, 0, 2) where 2 == SEEK_END on glibc, ftell, c_long::MAX -> -1, fclose). Genuine. Verified file (translated_code_unidiomatic/functions/lodepng_filesize.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_filesize: correct. Forced matcher lodepng_filesize (score 0.2, conf -0.117): correct. Deploy matcher ABSTAIN: coverage loss only."
lodepng_buffer_file,lodepng.c,370,"(out: unsigned char *, size: size_t, filename: const char *) -> unsigned int",,,NO_MAP,,,lodepng_buffer_file,,,,NONE,single-source,lodepng_buffer_file,"lodepng.c:370-381 lodepng_buffer_file(out, size, filename): fopen rb or 78; readsize = fread(out, 1, size); fclose; readsize != size -> 78; 0 -> assembled_unidiomatic.rs:1674-1690 lodepng_buffer_file: identical sequence and error codes (rs:1680-1689). Genuine. The forced matcher gave this Rust fn to lodepng_chunk_check_crc instead, so this row got no forced assignment. Verified file (translated_code_unidiomatic/functions/lodepng_buffer_file.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_buffer_file: correct. Forced matcher made no assignment for this row (its Rust target was consumed by another C row): a miss, not a wrong pair. Deploy matcher NONE (no proposal): a miss."
lodepng_load_file,lodepng.c,383,"(out: unsigned char **, outsize: size_t *, filename: const char *) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:383-392 lodepng_load_file(out: unsigned char **, outsize: size_t *, filename: const char *) -> unsigned int: lodepng_filesize, malloc, lodepng_buffer_file into *out/*outsize. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 80 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
lodepng_save_file,lodepng.c,395,"(buffer: const unsigned char *, buffersize: size_t, filename: const char *) -> unsigned int",,,NO_MAP,,,lodepng_save_file,,,,NONE,single-source,lodepng_save_file,"lodepng.c:395-402 lodepng_save_file(buffer, buffersize, filename): fopen wb or 79; fwrite(buffer, 1, buffersize); fclose; 0 -> assembled_unidiomatic.rs:2208-2232 lodepng_save_file: same sequence through local extern ""C"" declarations of fopen/fwrite/fclose (rs:2214-2223), same code 79. Genuine. The forced matcher gave this Rust fn to lodepng_memcpy, so this row got no forced assignment. Verified file (translated_code_unidiomatic/functions/lodepng_save_file.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq lodepng_save_file: correct. Forced matcher made no assignment for this row (its Rust target was consumed by another C row): a miss, not a wrong pair. Deploy matcher NONE (no proposal): a miss."
LodePNGBitWriter_init,lodepng.c,420,"(writer: LodePNGBitWriter *, data: ucvector *) -> void",,,NO_MAP,,,LodePNGBitWriter_init,LodePNGBitWriter_init,0.376,-0.084,ABSTAIN,single-source,LodePNGBitWriter_init,"lodepng.c:420-423 LodePNGBitWriter_init(writer, data): writer->data = data; writer->bp = 0 -> assembled_unidiomatic.rs:1220-1226 LodePNGBitWriter_init: same two stores (rs:1224-1225) plus an added NULL guard (rs:1221-1223, defensive widening, RQ4). Genuine. Verified file (translated_code_unidiomatic/functions/LodePNGBitWriter_init.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq LodePNGBitWriter_init: correct. Forced matcher LodePNGBitWriter_init (score 0.376, conf -0.084): correct. Deploy matcher ABSTAIN: coverage loss only."
writeBits,lodepng.c,437,"(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:437-447 writeBits(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void: pushes nbits of value LSB-first into writer->data (ucvector_resize per new byte), advancing bp. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 136 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
writeBitsReversed,lodepng.c,450,"(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void",,,NO_MAP,,,,countZeros,0.098,-0.141,ABSTAIN,single-source,NONE,"lodepng.c:450-456 writeBitsReversed(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void: same as writeBits but MSB-first. Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 137 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher proposed countZeros (score 0.098, conf -0.141): WRONG, the row has no Rust. Deploy matcher ABSTAIN: abstained (correct outcome)."
LodePNGBitReader_init,lodepng.c,470,"(reader: LodePNGBitReader *, data: const unsigned char *, size: size_t) -> unsigned int",,,NO_MAP,,,,,,,NONE,CONFLICT,NONE,"lodepng.c:470-482 LodePNGBitReader_init(reader: LodePNGBitReader *, data: const unsigned char *, size: size_t) -> unsigned int: sets data/size/bp/buffer and bitsize with lodepng_mulofl/addofl overflow checks (105 on overflow). Never attempted: SACTOR aborted the whole TU when unit 74 of its dependency order (lodepng_gtofl) failed to link (run1.log:60143 `Failed to link project-level harness for function lodepng_gtofl`; batch_summary.json lodepng.c failed); this function is unit 81 of 235 in that order (run1.log:23 `Function order`), so no LLM call was ever made for it: no entry in unidiomatic_failure_info.json, no file in run1_extracted_rust/, no Rust fn in assembled_unidiomatic.rs / rust_inventory.csv. No other Rust function in the artifact implements this behaviour. Name-eq: no same-name Rust fn (correct). Forced matcher: no proposal (correct). Deploy matcher NONE: correct."
ensureBits9,lodepng.c,493,"(reader: LodePNGBitReader *, nbits: size_t) -> void",,,NO_MAP,,,ensureBits9,ensureBits9,0.312,-0.031,ABSTAIN,single-source,ensureBits9,"lodepng.c:493-505 ensureBits9(reader, nbits): start = bp>>3; if start+1 < size buffer = d[start] | d[start+1]<<8 then >>= bp&7, else buffer = d[start] if start < size, >>= bp&7; (void)nbits -> assembled_unidiomatic.rs:1524-1545 ensureBits9: same two branches, same shifts, via a nested get_data helper; `let _ = nbits`. Genuine. Verified file (translated_code_unidiomatic/functions/ensureBits9.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq ensureBits9: correct. Forced matcher ensureBits9 (score 0.312, conf -0.031): correct. Deploy matcher ABSTAIN: coverage loss only."
ensureBits17,lodepng.c,508,"(reader: LodePNGBitReader *, nbits: size_t) -> void",,,NO_MAP,,,ensureBits17,ensureBits17,0.308,-0.05,ABSTAIN,single-source,ensureBits17,"lodepng.c:508-522 ensureBits17: 3-byte fast path when start+2 < size, else up to 2 guarded bytes, then >>= bp&7 -> assembled_unidiomatic.rs:1417-1448 ensureBits17: same structure (rs:1431-1446); the nested read_byte helper carries an extra `index < size` test that is redundant inside the already-guarded branches (no behaviour change). Genuine. Verified file (translated_code_unidiomatic/functions/ensureBits17.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq ensureBits17: correct. Forced matcher ensureBits17 (score 0.308, conf -0.05): correct. Deploy matcher ABSTAIN: coverage loss only."
ensureBits25,lodepng.c,525,"(reader: LodePNGBitReader *, nbits: size_t) -> void",,,NO_MAP,,,ensureBits25,ensureBits25,0.309,-0.046,ABSTAIN,single-source,ensureBits25,"lodepng.c:525-540 ensureBits25: 4-byte fast path when start+3 < size, else up to 3 guarded bytes, >>= bp&7 -> assembled_unidiomatic.rs:1451-1480 ensureBits25: same structure and shifts (rs:1459-1478). Verified on attempt 2 (attempt 1 was a syntax error). Genuine. Verified file (translated_code_unidiomatic/functions/ensureBits25.rs, status success after 2 attempts: first attempt rejected: syntax error; attempt 2 compiled, linked, 4/4 samples passed). Name-eq ensureBits25: correct. Forced matcher ensureBits25 (score 0.309, conf -0.046): correct. Deploy matcher ABSTAIN: coverage loss only."
ensureBits32,lodepng.c,543,"(reader: LodePNGBitReader *, nbits: size_t) -> void",,,NO_MAP,,,ensureBits32,ensureBits32,0.309,-0.039,ABSTAIN,single-source,ensureBits32,"lodepng.c:543-560 ensureBits32: 4-byte load, >>= bp&7, then |= (d[start+4]<<24) << (8 - (bp&7)) when start+4 < size, else up to 4 guarded bytes -> assembled_unidiomatic.rs:1483-1521 ensureBits32: same including the fifth-byte splice at rs:1499-1500. Verified on attempt 2 (attempt 1 syntax error). Genuine. Verified file (translated_code_unidiomatic/functions/ensureBits32.rs, status success after 2 attempts: first attempt rejected: syntax error; attempt 2 compiled, linked, 4/4 samples passed). Name-eq ensureBits32: correct. Forced matcher ensureBits32 (score 0.309, conf -0.039): correct. Deploy matcher ABSTAIN: coverage loss only."
peekBits,lodepng.c,563,"(reader: LodePNGBitReader *, nbits: size_t) -> unsigned int",,,NO_MAP,,,peekBits,peekBits,0.299,-0.043,ABSTAIN,single-source,peekBits,"lodepng.c:563-566 peekBits(reader, nbits): buffer & ((1u << nbits) - 1u) -> assembled_unidiomatic.rs:2266-2269 peekBits: identical expression. Genuine. Verified file (translated_code_unidiomatic/functions/peekBits.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq peekBits: correct. Forced matcher peekBits (score 0.299, conf -0.043): correct. Deploy matcher ABSTAIN: coverage loss only."
advanceBits,lodepng.c,569,"(reader: LodePNGBitReader *, nbits: size_t) -> void",,,NO_MAP,,,advanceBits,advanceBits,0.292,-0.067,ABSTAIN,single-source,advanceBits,"lodepng.c:569-572 advanceBits(reader, nbits): buffer >>= nbits; bp += nbits -> assembled_unidiomatic.rs:1256-1260 advanceBits: same two updates (bp uses wrapping_add). Genuine. Verified file (translated_code_unidiomatic/functions/advanceBits.rs, unidiomatic_failure_info.json status success, 1 attempt: compiled, linked, 4/4 harness samples passed). Name-eq advanceBits: correct. Forced matcher advanceBits (score 0.292, conf -0.067): correct. Deploy matcher ABSTAIN: coverage loss only."
