c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
ucvector_reserve,lodepng.c,270,"(p: ucvector *, size: size_t) -> unsigned int",Ucvector;ucvector_reserve,ucvector_reserve,CLAIMED,yes,Fixed_5_Compile_Failed,ucvector_reserve,uivector_resize,0.127,-0.231,ABSTAIN,CONFLICT,STUB:ucvector_reserve,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:270 (grow via lodepng_realloc, `size + (size >> 1)`). src/lodepng.rs:825 `ucvector_reserve(p: Option<&mut u8>, size) -> usize { 0 }`; duplicate same-name def src/lodepng.rs:952 `(p: Option<&mut Ucvector>, size) -> u32 { 0 }`. Rejected tool_claim uivector_resize [877]."
ucvector_resize,lodepng.c,284,"(p: ucvector *, size: size_t) -> unsigned int",ucvector_resize,ucvector_resize,CLAIMED,yes,Fixed_5_Compile_Failed,ucvector_resize,ucvector_resize,0.278,-0.13,ABSTAIN,unanimous,STUB:ucvector_resize,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:284 `p->size = size; return ucvector_reserve(p, size);`. src/lodepng.rs:955 `ucvector_resize(p: Option<&mut Ucvector>, size) -> u32 { 0 }`; duplicate same-name def src/lodepng.rs:1479. Rejected tool_claim ucvector_reserve [825]."
ucvector_init,lodepng.c,289,"(buffer: unsigned char *, size: size_t) -> ucvector",ucvector_resize,ucvector_resize,CLAIMED,yes,Fixed_5_Compile_Failed,ucvector_init,ucvector_reserve,0.27,-0.166,ABSTAIN,CONFLICT,STUB:ucvector_init,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:289 (returns ucvector by value with buffer/size/allocsize). src/lodepng.rs:828 `ucvector_init(buffer: Option<&mut u8>, size) -> u8 { 0 }` (return type garbled). Rejected tool_claim ucvector_resize [955], ucvector_reserve [825]."
string_cleanup,lodepng.c,302,(out: char **) -> void,ucvector_reserve;ucvector_init,ucvector_reserve,CLAIMED,yes,Fixed_5_Compile_Failed,string_cleanup,string_cleanup,0.26,-0.178,ABSTAIN,CONFLICT,STUB:string_cleanup,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:302 `lodepng_free(*out); *out = NULL;`. src/lodepng.rs:822 doc 'Translation of: static void string_cleanup(char** out)', no-op. Rejected tool_claim lodepng_free_itext (not a real slot) / lodepng_unknown_chunks_init [629]."
alloc_string_sized,lodepng.c,308,"(in: const char *, insize: size_t) -> char *",string_cleanup,string_cleanup,CLAIMED,yes,Fixed_5_Compile_Failed,alloc_string_sized,alloc_string_sized,0.2,-0.156,ABSTAIN,CONFLICT,STUB:alloc_string_sized,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:308 (malloc insize+1, memcpy, NUL-terminate). src/lodepng.rs:1154 `alloc_string_sized(in_ptr: Option<&c_char>, insize) -> Option<&mut c_char> { None }`. Note src/lodepng.rs:553 lodepng_copy_and_terminate is a fragment stub whose doc quotes C:311-312 `lodepng_memcpy(out, in, insize); out[insize] = 0;` with (out, input, insize) params -- a sub-fragment, not the function slot. Rejected tool_claim lodepng_strlen [559], alloc_string [459]."
alloc_string,lodepng.c,318,(in: const char *) -> char *,alloc_string_sized,alloc_string_sized,CLAIMED,yes,Fixed_5_Compile_Failed,alloc_string,lodepng_chunk_safetocopy,0.266,-0.166,ABSTAIN,CONFLICT,alloc_string,"REAL body. C:318 `return alloc_string_sized(in, lodepng_strlen(in));`. src/lodepng.rs:459-464 `alloc_string(input: Option<&str>) -> Option<String> { input.map(|s| s.to_string()) }` -- the strlen+copy collapses to to_string, semantically the same (copy string, None passthrough). Rejected tool_claim lodepng_chunk_safetocopy (stub, unrelated), alloc_string_sized [1154] (different C fn)."
lodepng_read32bitInt,lodepng.c,327,(buffer: const unsigned char *) -> unsigned int,lodepng_memcpy;lodepng_copy_and_terminate,lodepng_memcpy,CLAIMED,yes,Fixed_1_Compile_Failed,,lodepng_get32bit_int,0.283,-0.1,ABSTAIN,CONFLICT,lodepng_get32bit_int,"REAL body, renamed. C:327 `((unsigned)buffer[0] << 24) | (buffer[1] << 16) | (buffer[2] << 8) | buffer[3]`. src/lodepng.rs:494-500 `lodepng_get32bit_int(buffer: &[u8]) -> u32` computes exactly that expression (doc quotes the C). matcher_forced=lodepng_get32bit_int is correct. Rejected tool_claim lodepng_memcpy [541] and lodepng_copy_and_terminate [553] (both unrelated stubs). No fn named lodepng_read32bit_int exists."
lodepng_set32bitInt,lodepng.c,335,"(buffer: unsigned char *, value: unsigned int) -> void",alloc_string,alloc_string,CLAIMED,yes,No_Fix_Compile_Success,,lodepng_set32bit_int,0.283,-0.079,ABSTAIN,CONFLICT,lodepng_set32bit_int,"REAL body, renamed. C:335 writes value>>24, >>16, >>8, value into buffer[0..3]. src/lodepng.rs:508-514 `lodepng_set32bit_int(buffer: &mut [u8], value: u32)` does exactly that. Rejected tool_claim alloc_string [459]."
lodepng_filesize,lodepng.c,350,(filename: const char *) -> long,lodepng_get32bit_int;lodepng_set32bit_int,lodepng_get32bit_int,CLAIMED,yes,No_Fix_Compile_Success,lodepng_filesize,lodepng_chunk_generate_crc,0.191,-0.255,ABSTAIN,CONFLICT,translated_function,"PARTIAL real body under a generic name. C:350: fopen(rb) -> NULL=-1; fseek(END) fail -> -1; size=ftell; if size==LONG_MAX size=-1; fclose; return size. src/lodepng.rs:474-490 `translated_function(file: &mut File) -> i64`: `file.seek(SeekFrom::End(0)).is_err() -> -1`, `size = stream_position()`, `if size == 9_223_372_036_854_775_807 { size = -1 }`, return size -- the distinctive LONG_MAX check and fseek/ftell logic of C:356-366, minus fopen/NULL-check/fclose (takes an already-open File). The same-name slot src/lodepng.rs:405 `lodepng_filesize(_filename: Option<&str>) -> Option<i64> { unimplemented!() }` holds no body. Body evidence wins -> translated_function; graders treating unimplemented!() slot as target should note the split. Rejected tool_claim lodepng_get32bit_int [494] / lodepng_set32bit_int [508] (32-bit int helpers), matcher_forced lodepng_chunk_generate_crc (stub, unrelated)."
lodepng_buffer_file,lodepng.c,370,"(out: unsigned char *, size: size_t, filename: const char *) -> unsigned int",translated_function,translated_function,CLAIMED,yes,No_Fix_Compile_Success,lodepng_buffer_file,readChunk_tRNS,0.152,-0.198,ABSTAIN,CONFLICT,STUB:lodepng_buffer_file,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:370 (fopen rb -> 78, fread, fclose). src/lodepng.rs:408 `lodepng_buffer_file(_out: &mut [u8], _size: usize, _filename: Option<&str>) -> u32 { unimplemented!() }`. No other fn does fread/read_to_end (grep). Rejected tool_claim translated_function [474] (filesize fragment: seek/LONG_MAX, no read) and readChunk_tRNS (stub, unrelated)."
lodepng_load_file,lodepng.c,383,"(out: unsigned char **, outsize: size_t *, filename: const char *) -> unsigned int",lodepng_load_file,lodepng_load_file,CLAIMED,yes,Fixed_2_Compile_Failed,lodepng_load_file,deflateNoCompression,0.185,-0.198,ABSTAIN,CONFLICT,lodepng_load_file,"REAL body. C:383: size = lodepng_filesize; if size<0 return 78; *outsize=size; *out=malloc; if !*out && size>0 return 83; return lodepng_buffer_file(*out,size,filename). src/lodepng.rs:357-399 `lodepng_load_file(out: &mut Option<Vec<u8>>, outsize: &mut usize, filename: Option<&str>) -> u32`: calls lodepng_filesize(filename), None/size<0 -> 78, `*outsize = size as usize`, allocates zeroed Vec (comment quotes the 83 branch), returns lodepng_buffer_file(buf, *outsize, filename) else 83. Two other same-name definitions (src/lodepng.rs:810 and src/lodepng.rs:3454) are `0` stubs; the inventory entry [357] is the real one. Rejected tool_claim deflateNoCompression [2000]."
lodepng_save_file,lodepng.c,395,"(buffer: const unsigned char *, buffersize: size_t, filename: const char *) -> unsigned int",lodepng_load_file;lodepng_filesize;lodepng_buffer_file,lodepng_load_file,CLAIMED,yes,No_Fix_Compile_Success,lodepng_save_file,lodepng_save_file,0.196,-0.191,ABSTAIN,CONFLICT,STUB:lodepng_save_file,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:395 (fopen wb -> 79, fwrite, fclose). src/lodepng.rs:940 `lodepng_save_file(buffer: Option<&[u8]>, buffersize, filename: Option<&str>) -> u32 { 0 }`; duplicate same-name def src/lodepng.rs:1464. No fn contains 'wb'/error 79 (grep). Rejected tool_claim lodepng_load_file [357], lodepng_filesize [405], lodepng_buffer_file [408]."
LodePNGBitWriter_init,lodepng.c,420,"(writer: LodePNGBitWriter *, data: ucvector *) -> void",lodepng_save_file,lodepng_save_file,CLAIMED,yes,Fixed_5_Compile_Failed,LodePNGBitWriter_init,LodePNGBitWriter_init,0.266,-0.134,ABSTAIN,CONFLICT,STUB:LodePNGBitWriter_init,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:420 `writer->data = data; writer->bp = 0;`. src/lodepng.rs:1958 `LodePNGBitWriter_init(writer: Option<&mut LodePNGBitWriter>, data: Option<&mut Ucvector>)` no-op. Rejected tool_claim lodepng_save_file [940]."
writeBits,lodepng.c,437,"(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void",LodePNGBitWriter;LodePNGBitWriter_init,LodePNGBitWriter_init,CLAIMED,yes,Fixed_2_Compile_Failed,,addChunk_iCCP,0.135,-0.218,ABSTAIN,CONFLICT,NONE,"C:437 (WRITEBIT macro loop, LSB-first). No Rust fn named writeBits/write_bits; grep 'fn write_bits\b|fn writeBits\b|WRITEBIT|bp & 7' hits only the writeBitsReversed comment at src/lodepng.rs:678 and def at 1972. Rejected tool_claim LodePNGBitWriter (a struct, not a fn), LodePNGBitWriter_init [1958] (C:420, different fn), addChunk_iCCP (stub, unrelated)."
writeBitsReversed,lodepng.c,450,"(writer: LodePNGBitWriter *, value: unsigned int, nbits: size_t) -> void",writeBitsReversed,writeBitsReversed,CLAIMED,yes,Fixed_1_Compile_Failed,writeBitsReversed,readChunk_tEXt,0.169,-0.196,ABSTAIN,CONFLICT,AMBIGUOUS,"Two distinct-named empty stubs both designate C writeBitsReversed:450: (a) src/lodepng.rs:1972 `writeBitsReversed(writer: Option<&mut LodePNGBitWriter>, value: u32, nbits: usize)` no-op, doc 'Stub for the function implied by the provided C code fragment that writes bits in reversed order'; (b) src/lodepng.rs:676 `write_bits_reversed(writer, value, nbits)` no-op, comment 'C original: static void writeBitsReversed(LodePNGBitWriter* writer, unsigned value, size_t nbits)'. Neither has a body -> STUB either way. Rejected tool_claim readChunk_tEXt (stub, unrelated)."
LodePNGBitReader_init,lodepng.c,470,"(reader: LodePNGBitReader *, data: const unsigned char *, size: size_t) -> unsigned int",LodePNGBitReader,,CLAIMED,NO,Fixed_5_Compile_Failed,,lodepng_get_raw_size,0.185,-0.282,ABSTAIN,single-source,NONE,"C:470 (sets data/size/bitsize with error 105 on overflow, bp=0, buffer=0). No Rust fn named LodePNGBitReader_init/lodepng_bit_reader_init; grep 'bitreader_init|bit_reader_init|105' hits only the struct field `bitsize` at src/lodepng.rs:961 (struct LodePNGBitReader defined at 958). Rejected tool_claim lodepng_get_raw_size (common/lodepng_mod.rs:11, unrelated stub)."
ensureBits9,lodepng.c,493,"(reader: LodePNGBitReader *, nbits: size_t) -> void",ensureBits9,ensureBits9,CLAIMED,yes,Fixed_5_Compile_Failed,ensureBits9,lodepng_realloc,0.096,-0.242,ABSTAIN,CONFLICT,STUB:ensureBits9,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:493. src/lodepng.rs:967 `ensureBits9(reader: Option<&mut LodePNGBitReader>, nbits: usize)` no-op. Rejected tool_claim lodepng_realloc [611]."
ensureBits17,lodepng.c,508,"(reader: LodePNGBitReader *, nbits: size_t) -> void",ensure_bits17,ensure_bits17,CLAIMED,yes,Fixed_5_Compile_Failed,,addChunk_bKGD,0.172,-0.193,ABSTAIN,CONFLICT,STUB:ensure_bits17,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:508. src/lodepng.rs:973 `ensure_bits17(reader: Option<&mut LodePNGBitReader>, nbits: usize)` no-op, doc 'C original: static void ensureBits17(LodePNGBitReader* reader, size_t nbits)'. No fn named ensureBits17 (CamelCase) exists. Rejected tool_claim addChunk_bKGD (stub, unrelated)."
ensureBits25,lodepng.c,525,"(reader: LodePNGBitReader *, nbits: size_t) -> void",ensureBits25,ensureBits25,CLAIMED,yes,Fixed_5_Compile_Failed,ensureBits25,addChunk_sRGB,0.171,-0.194,ABSTAIN,CONFLICT,STUB:ensureBits25,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:524. src/lodepng.rs:979 `ensureBits25(reader, nbits)` no-op. Rejected tool_claim ensureBits9 [967] (different C fn)."
ensureBits32,lodepng.c,543,"(reader: LodePNGBitReader *, nbits: size_t) -> void",ensureBits32,ensureBits32,CLAIMED,yes,Fixed_5_Compile_Failed,ensureBits32,addChunk_tRNS,0.171,-0.194,ABSTAIN,CONFLICT,STUB:ensureBits32,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:541. src/lodepng.rs:985 `ensureBits32(reader, nbits)` no-op. Rejected tool_claim ensureBits25 [979]."
peekBits,lodepng.c,563,"(reader: LodePNGBitReader *, nbits: size_t) -> unsigned int",peek_bits,peek_bits,CLAIMED,yes,Fixed_5_Compile_Failed,,LodePNGIText_copy,0.182,-0.198,ABSTAIN,CONFLICT,STUB:peek_bits,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:563 `return reader->buffer & ((1u << nbits) - 1u);`. src/lodepng.rs:992 `peek_bits(reader: Option<&LodePNGBitReader>, start, size) -> u32 { 0 }` (params garbled, doc mentions peekBits placeholder); duplicate same-name def src/lodepng.rs:1485 `peek_bits(reader: Option<&mut LodePNGBitReader>, nbits: u32) -> u32 { 0 }` doc 'Stub for the C function peekBits'. Rejected tool_claim LodePNGIText_copy (stub, unrelated)."
advanceBits,lodepng.c,569,"(reader: LodePNGBitReader *, nbits: size_t) -> void",advance_bits,advance_bits,CLAIMED,yes,Fixed_5_Compile_Failed,,lodepng_info_copy,0.183,-0.196,ABSTAIN,CONFLICT,STUB:advance_bits,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:569 `reader->buffer >>= nbits; reader->bp += nbits;`. src/lodepng.rs:1001 `advance_bits(reader: Option<&mut LodePNGBitReader>, nbits: usize)` no-op, doc cites 'static void advanceBits'. Rejected tool_claim lodepng_info_copy (stub, unrelated)."
readBits,lodepng.c,575,"(reader: LodePNGBitReader *, nbits: size_t) -> unsigned int",peek_bits,peek_bits,CLAIMED,yes,Fixed_5_Compile_Failed,,addChunk_pHYs,0.249,-0.116,ABSTAIN,CONFLICT,STUB:read_bits,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:575 `result = peekBits; advanceBits; return result`. src/lodepng.rs:571 `read_bits(reader: &mut LodePngBitReader, nbits: usize) -> u32 { 0 }`; duplicate same-name def src/lodepng.rs:2775 doc 'Translation of: static unsigned readBits(LodePNGBitReader* reader, size_t nbits)'. Rejected tool_claim peek_bits [992] (C peekBits:563, different fn) and addChunk_pHYs (stub, unrelated)."
reverseBits,lodepng.c,582,"(bits: unsigned int, num: unsigned int) -> unsigned int",read_bits,read_bits,CLAIMED,yes,Fixed_5_Compile_Failed,,reverse_bits,0.301,-0.218,ABSTAIN,CONFLICT,STUB:reverse_bits,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:582 (bit-reverse of num bits). src/lodepng.rs:466 `reverse_bits(bits: u32, num: u32) -> u32 { unimplemented!() }`. Rejected tool_claim read_bits [571]."
HuffmanTree_init,lodepng.c,642,(tree: HuffmanTree *) -> void,,,EMPTY,,Fixed_5_Compile_Failed,HuffmanTree_init,huffman_tree_make_from_lengths2,0.202,-0.336,ABSTAIN,CONFLICT,STUB:HuffmanTree_init,"STUB: PtrTrans lodepng crate is a stub crate; this Rust fn is the tool's designated slot for the C fn (name/signature/doc comment cite it) but its body is an empty placeholder. Convert to NONE if strict 'implements' is required. C:665 (NULL codes/lengths/table_len/table_value). src/lodepng.rs:1005 `HuffmanTree_init(tree: Option<&mut HuffmanTree>)` no-op, comment quotes the C body. Rejected tool_claim huffman_tree_make_from_lengths2 [1073]."
