c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
parse_number,cJSON.c,307,"(item: cJSON *const, input_buffer: parse_buffer *const) -> cJSON_bool",,,NO_MAP,,,parse_number,parse_number,0.325,0.012,parse_number,single-source,parse_number,"C cJSON.c:307. Rust src/cjson.rs:588: null checks on input_buffer/content, get_decimal_point(), loop over '0'..'9','+','-','e','E' and '.' (sets has_decimal_point), hooks.allocate(number_string_length+1), '.'->decimal_point replacement, strtod emulation, INT_MAX/INT_MIN saturation, item.type_ = 1<<3, offset += parsed length. Body match."
cJSON_SetNumberHelper,cJSON.c,411,"(object: cJSON *, number: double) -> double",,,NO_MAP,,,cJSON_SetNumberHelper,cJSON_SetNumberHelper,0.407,0.091,cJSON_SetNumberHelper,single-source,cJSON_SetNumberHelper,"C cJSON.c:411 (saturate valueint to INT_MAX/INT_MIN; return valuedouble = number). Rust src/cjson.rs:418 has identical saturation constants 2_147_483_647 / -2_147_483_647-1 and sets valuedouble, returns number (adds None -> NAN). Body match."
cJSON_SetValuestring,cJSON.c,430,"(object: cJSON *, valuestring: const char *) -> char *",,,NO_MAP,,,,cJSON_ParseWithLength,0.251,-0.063,ABSTAIN,single-source,STUB:cjson_set_valuestring,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:430. Rust src/cjson.rs:1539 cjson_set_valuestring(object, valuestring, _hooks) -> Option<&mut str> is a STUB returning None; correspondence rests on name (snake_case of C name), parameter names object/valuestring, and the comment 'To mirror use of global_hooks / cJSON_strdup context'. No other Rust fn implements the strlen/overlap/strcpy/strdup logic (searched for 'v1_len', 'strcpy', 'valuestring =' assignments: only parse_string/CreateString/CreateRaw/CreateStringReference). Rejected matcher_forced=cJSON_ParseWithLength (src/cjson.rs:3136): one-line delegate to cJSON_ParseWithLengthOpts, = C cJSON_ParseWithLength."
ensure,cJSON.c,485,"(p: printbuffer *const, needed: size_t) -> unsigned char *",,,NO_MAP,,,ensure,ensure,0.384,0.002,ABSTAIN,single-source,ensure,"C cJSON.c:485. Rust src/cjson.rs:908: p/buffer null checks, (length>0 && offset>=length) -> None, needed > INT_MAX -> None, needed += offset+1, needed <= length branch, noalloc check, INT_MAX/2 overflow logic with newsize = needed*2, reallocate-else-allocate via hooks with p.length=0/p.buffer=None on failure, p.length = newsize. Body match (returns None in the end because it cannot produce &mut [u8])."
update_offset,cJSON.c,571,(buffer: printbuffer *const) -> void,,,NO_MAP,,,update_offset,update_offset,0.471,0.089,update_offset,single-source,update_offset,"C cJSON.c:571 (buffer->offset += strlen(buffer->buffer + offset)). Rust src/cjson.rs:994: null checks, slice from offset, position of first 0 byte, offset += len. Body match."
compare_double,cJSON.c,584,"(a: double, b: double) -> cJSON_bool",,,NO_MAP,,,compare_double,compare_double,0.556,0.237,compare_double,single-source,compare_double,"C cJSON.c:584 (maxVal = max(|a|,|b|); |a-b| <= maxVal*DBL_EPSILON). Rust src/cjson.rs:519 identical with f64::EPSILON. Body match."
print_number,cJSON.c,591,"(item: const cJSON *const, output_buffer: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_number,get_array_item,0.154,-0.159,ABSTAIN,CONFLICT,STUB:print_number,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:591 (sprintf null/%d/%1.15g/%1.17g, ensure, decimal-point replacement). Rust src/cjson.rs:1400 print_number(item, output_buffer) -> i32 is a STUB returning 0; doc comment at 1398 says 'Translated stub for the C function: static cJSON_bool print_number(...)'. No other Rust fn formats numbers (searched '%1.15', 'number_buffer', 'is_nan', 'format!' -> only print_string_ptr's u%04x). Rejected matcher_forced=get_array_item (src/cjson.rs:525): its body walks array.child/next by index = C get_array_item."
parse_hex4,cJSON.c,661,(input: const unsigned char *const) -> unsigned int,,,NO_MAP,,,parse_hex4,parse_hex4,0.529,0.228,parse_hex4,single-source,parse_hex4,"C cJSON.c:661. Rust src/cjson.rs:95: 4-iteration loop over '0'-'9'/'A'-'F'/'a'-'f', invalid -> 0, h <<= 4 when i<3. Body match."
utf16_literal_to_utf8,cJSON.c,698,"(input_pointer: const unsigned char *const, input_end: const unsigned char *const, output_pointer: unsigned char **) -> unsigned char",,,NO_MAP,,,utf16_literal_to_utf8,utf16_literal_to_utf8,0.488,0.221,utf16_literal_to_utf8,single-source,utf16_literal_to_utf8,"C cJSON.c:698. Rust src/cjson.rs:150: <6 check, parse_hex4(first_sequence+2), 0xDC00..=0xDFFF reject, 0xD800..=0xDBFF surrogate pair with second_sequence[0]=='\\' && [1]=='u', codepoint = 0x10000 + (((first&0x3FF)<<10)|(second&0x3FF)), utf8 length/first_byte_mark 0xC0/0xE0/0xF0, (cp|0x80)&0xBF trailing bytes, returns sequence_length 6/12. Body match."
parse_string,cJSON.c,819,"(item: cJSON *const, input_buffer: parse_buffer *const) -> cJSON_bool",,,NO_MAP,,,parse_string,parse_string,0.337,0.046,parse_string,single-source,parse_string,"C cJSON.c:819. Rust src/cjson.rs:696: checks content[offset]=='""', counts skipped_bytes for backslashes with the 'last char is backslash' guard, allocation_length = (end - offset) - skipped, decode loop with escapes b/f/n/r/t/""/\\///u calling utf16_literal_to_utf8, item.type_ = 1<<4, offset = end+1, fail paths set offset from input_pointer. Body match (valuestring is set to None - known data-loss bug, still the translation)."
print_string_ptr,cJSON.c,949,"(input: const unsigned char *const, output_buffer: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_string_ptr,print_string_ptr,0.466,0.117,print_string_ptr,single-source,print_string_ptr,"C cJSON.c:949. Rust src/cjson.rs:1407: input None -> ensure(3) + ""\""\""""; escape counting (+1 for \"" \\ \b \f \n \r \t, +5 for <32), output_length = idx + escape_characters, ensure(output_length+3), fast path memcpy, slow path with '\\' + b/f/n/r/t and 'u{:04x}' + 4 advance. Body match."
print_string,cJSON.c,1071,"(item: const cJSON *const, p: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_string,print_array,0.226,-0.145,ABSTAIN,CONFLICT,print_string,"C cJSON.c:1071 (return print_string_ptr(item->valuestring, p)). Rust src/cjson.rs:1875 maps item.valuestring to bytes and calls print_string_ptr(bytes, ...) (passes None for the buffer, degenerate but the same call). Body match. Rejected matcher_forced=print_array (src/cjson.rs:1991): a stub returning 0 whose doc comment names print_array."
buffer_skip_whitespace,cJSON.c,1085,(buffer: parse_buffer *const) -> parse_buffer *,,,NO_MAP,,,buffer_skip_whitespace,buffer_skip_whitespace,0.229,-0.103,ABSTAIN,single-source,buffer_skip_whitespace,"C cJSON.c:1085. Rust src/cjson.rs:1373: null checks, offset>=length -> return buffer, while content[offset] <= 32 offset++, if offset==length offset--. Body match."
skip_utf8_bom,cJSON.c,1111,(buffer: parse_buffer *const) -> parse_buffer *,,,NO_MAP,,,skip_utf8_bom,skip_utf8_bom,0.228,-0.136,ABSTAIN,single-source,skip_utf8_bom,"C cJSON.c:1111 (offset != 0 -> NULL; can_access_at_index(4) && strncmp EF BB BF -> offset += 3). Rust src/cjson.rs:873: same checks, compares slice to [0xEF,0xBB,0xBF], offset += 3. Body match."
cJSON_ParseWithOpts,cJSON.c,1126,"(value: const char *, return_parse_end: const char **, require_null_terminated: cJSON_bool) -> cJSON *",,,NO_MAP,,,cJSON_ParseWithOpts,cjson_set_valuestring,0.097,-0.279,ABSTAIN,CONFLICT,cJSON_ParseWithOpts,"C cJSON.c:1126 (NULL -> NULL; buffer_length = strlen+1; call cJSON_ParseWithLengthOpts). Rust src/cjson.rs:3147: None -> None, buffer_length = value.len(), calls cJSON_ParseWithLengthOpts(value, buffer_length, return_parse_end, require_null_terminated). Body match. Rejected matcher_forced=cjson_set_valuestring (src/cjson.rs:1539): stub for cJSON_SetValuestring, different params."
cJSON_ParseWithLengthOpts,cJSON.c,1142,"(value: const char *, buffer_length: size_t, return_parse_end: const char **, require_null_terminated: cJSON_bool) -> cJSON *",,,NO_MAP,,,cJSON_ParseWithLengthOpts,,,,NONE,single-source,STUB:cJSON_ParseWithLengthOpts,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1142 (the real parser driver: global_error reset, New_Item, parse_value(buffer_skip_whitespace(skip_utf8_bom)), require_null_terminated check, error position). Rust src/cjson.rs:3095 is a STUB returning None; doc comment at 3091 'Translated from: cJSON * cJSON_ParseWithLengthOpts(...)', identical parameter list. No other Rust fn calls parse_value/skip_utf8_bom or writes GLOBAL_ERROR (grep: GLOBAL_ERROR only read in cJSON_GetErrorPtr; skip_utf8_bom has no callers). Both cJSON_ParseWithOpts and cJSON_ParseWithLength delegate to it, as in C."
cJSON_Parse,cJSON.c,1222,(value: const char *) -> cJSON *,,,NO_MAP,,,cJSON_Parse,cJSON_Parse,0.339,-0.003,ABSTAIN,single-source,cJSON_Parse,"C cJSON.c:1222 (return cJSON_ParseWithOpts(value, 0, 0)). Rust src/cjson.rs:3184 returns cJSON_ParseWithOpts(value, None, 0). Body match."
cJSON_ParseWithLength,cJSON.c,1227,"(value: const char *, buffer_length: size_t) -> cJSON *",,,NO_MAP,,,cJSON_ParseWithLength,cJSON_malloc,0.186,-0.222,ABSTAIN,CONFLICT,cJSON_ParseWithLength,"C cJSON.c:1227 (return cJSON_ParseWithLengthOpts(value, buffer_length, 0, 0)). Rust src/cjson.rs:3136 returns cJSON_ParseWithLengthOpts(value, buffer_length, None, 0). Body match. Rejected matcher_forced=cJSON_malloc (src/cjson.rs:1079): returns None, takes (_size, _hooks)."
print,cJSON.c,1234,"(item: const cJSON *const, format: cJSON_bool, hooks: const internal_hooks *const) -> unsigned char *",,,NO_MAP,,,print,print,0.352,0.008,ABSTAIN,single-source,print,"C cJSON.c:1234. Rust src/cjson.rs:2243: DEFAULT_BUFFER_SIZE = 256, builds PrintBuffer with format and *hooks, hooks.allocate(256) null check, print_value(item, buffer), update_offset(buffer), reallocate-vs-allocate+copy branch commented verbatim, returns leaked buffer. Body match."
cJSON_Print,cJSON.c,1302,(item: const cJSON *) -> char *,,,NO_MAP,,,cJSON_Print,cJSON_PrintUnformatted,0.204,-0.217,ABSTAIN,CONFLICT,cJSON_Print,"C cJSON.c:1302 (return print(item, true, &global_hooks)). Rust src/cjson.rs:2921 copies global_hooks into local_hooks and calls print(item, 1_i32, Some(&local_hooks)) - format=1=true. Body match. Rejected matcher_forced=cJSON_PrintUnformatted (src/cjson.rs:2940): stub returning None, does not call print."
cJSON_PrintUnformatted,cJSON.c,1307,(item: const cJSON *) -> char *,,,NO_MAP,,,cJSON_PrintUnformatted,cJSON_Print,0.377,-0.009,ABSTAIN,CONFLICT,STUB:cJSON_PrintUnformatted,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1307 (return print(item, false, &global_hooks)). Rust src/cjson.rs:2940 cJSON_PrintUnformatted(item) is a STUB returning None; correspondence by exact name and (item) signature. No other Rust fn calls print(..., 0, ...) (only cJSON_Print calls print, with format 1). Rejected matcher_forced=cJSON_Print (src/cjson.rs:2921): passes format=1_i32 (true), which is C cJSON_Print, not the unformatted variant."
cJSON_PrintBuffered,cJSON.c,1312,"(item: const cJSON *, prebuffer: int, fmt: cJSON_bool) -> char *",,,NO_MAP,,,cJSON_PrintBuffered,cJSON_DetachItemViaPointer,0.187,-0.111,ABSTAIN,CONFLICT,cJSON_PrintBuffered,"C cJSON.c:1312. Rust src/cjson.rs:2146: prebuffer < 0 -> None, PrintBuffer p zero-init, allocate(prebuffer) modelled, p.length = prebuffer, p.offset=0, p.noalloc=0, p.format=fmt, p.hooks = local_hooks, print_value(item, &mut p) failure -> None, return p.buffer (as None). Body match. Rejected matcher_forced=cJSON_DetachItemViaPointer (src/cjson.rs:1246): linked-list unlink logic."
cJSON_PrintPreallocated,cJSON.c,1343,"(item: cJSON *, buffer: char *, length: const int, format: const cJSON_bool) -> cJSON_bool",,,NO_MAP,,,cJSON_PrintPreallocated,cJSON_PrintPreallocated,0.128,-0.246,ABSTAIN,single-source,STUB:cJSON_PrintPreallocated,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1343 (length<0||buffer NULL -> false; p.noalloc = true; return print_value). Rust src/cjson.rs:2225 cJSON_PrintPreallocated(item, buffer, length, format) -> i32 is a STUB returning 0 ('Default return value as per stub requirements'); correspondence by exact name and 4-parameter signature. No other Rust fn sets noalloc = 1 (grep 'noalloc' -> only field decl, ensure read, PrintBuffered noalloc=0)."
parse_value,cJSON.c,1363,"(item: cJSON *const, input_buffer: parse_buffer *const) -> cJSON_bool",,,NO_MAP,,,parse_value,parse_value,0.152,-0.22,ABSTAIN,single-source,STUB:parse_value,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1363 (dispatch on null/false/true/""/digit/[/{ to parse_string/parse_number/parse_array/parse_object). Rust src/cjson.rs:2869 is a STUB returning 0; doc comment at 2867 'Translated from: static cJSON_bool parse_value(...)'. No other Rust fn compares against ""null""/""false""/""true"" or dispatches to parse_string/parse_number (grep: parse_string and parse_number have no callers)."
print_value,cJSON.c,1418,"(item: const cJSON *const, output_buffer: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_value,print_number,0.151,-0.22,ABSTAIN,CONFLICT,STUB:print_value,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1418 (switch on type & 0xFF, ensure+strcpy null/false/true, print_number/print_string/print_array/print_object, raw memcpy). Rust src/cjson.rs:1982 is a STUB returning 0; doc comment at 1979 'Translated stub for the C function: static cJSON_bool print_value(...)'. It is called from print, cJSON_PrintBuffered exactly where C calls print_value. Rejected matcher_forced=print_number (src/cjson.rs:1400): also a stub, but its doc names print_number and its params/role differ (leaf number formatter, not the dispatcher)."
parse_array,cJSON.c,1492,"(item: cJSON *const, input_buffer: parse_buffer *const) -> cJSON_bool",,,NO_MAP,,,parse_array,parse_array,0.147,-0.226,ABSTAIN,single-source,STUB:parse_array,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1492 (depth limit, '[', loop New_Item/parse_value/',' , ']', head->prev = current). Rust src/cjson.rs:2878 is a STUB returning 0; doc comment at 2876 names parse_array. No other Rust fn checks b'[' / b']' (grep found none)."
print_array,cJSON.c,1590,"(item: const cJSON *const, output_buffer: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_array,print_object,0.144,-0.227,ABSTAIN,CONFLICT,STUB:print_array,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1590 (ensure(1) '[', loop print_value + ',' [+ ' '], ']'). Rust src/cjson.rs:1991 is a STUB returning 0; doc comment at 1988 names print_array. No other Rust fn writes b'[' (grep found none). Rejected matcher_forced=print_object (src/cjson.rs:2000): a stub whose doc names print_object."
parse_object,cJSON.c,1652,"(item: cJSON *const, input_buffer: parse_buffer *const) -> cJSON_bool",,,NO_MAP,,,parse_object,parse_object,0.147,-0.226,ABSTAIN,single-source,STUB:parse_object,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1652 ('{', parse_string for key, swap valuestring->string, ':', parse_value, '}'). Rust src/cjson.rs:2887 is a STUB returning 0; doc comment at 2885 names parse_object. No other Rust fn checks b'{' / b':' / swaps valuestring into string (grep found none)."
print_object,cJSON.c,1770,"(item: const cJSON *const, output_buffer: printbuffer *const) -> cJSON_bool",,,NO_MAP,,,print_object,minify_string,0.129,-0.221,ABSTAIN,CONFLICT,STUB:print_object,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1770 ('{' [+'\n'], depth tabs, print_string_ptr(key), ':' [+'\t'], print_value, ',' , '}'). Rust src/cjson.rs:2000 is a STUB returning 0; doc comment at 1997 names print_object. No other Rust fn writes b'{' or b'\t' indentation (grep found none). Rejected matcher_forced=minify_string (src/cjson.rs:11): its body copies a quoted string verbatim handling '""' and '\\""' = C minify_string."
cJSON_GetArraySize,cJSON.c,1884,(array: const cJSON *) -> int,,,NO_MAP,,,cJSON_GetArraySize,cJSON_GetArraySize,0.346,-0.078,ABSTAIN,single-source,cJSON_GetArraySize,"C cJSON.c:1884 (NULL -> 0; count child->next chain). Rust src/cjson.rs:291: None -> 0, while let Some(child) size += 1, child.next. Body match."
get_array_item,cJSON.c,1907,"(array: const cJSON *, index: size_t) -> cJSON *",,,NO_MAP,,,get_array_item,print_value,0.32,-0.049,ABSTAIN,CONFLICT,get_array_item,"C cJSON.c:1907 (NULL -> NULL; walk child while index > 0). Rust src/cjson.rs:525: same, with doc 'Translated from: static cJSON* get_array_item'. Body match. Rejected matcher_forced=print_value (src/cjson.rs:1982): stub for print_value."
cJSON_GetArrayItem,cJSON.c,1926,"(array: const cJSON *, index: int) -> cJSON *",,,NO_MAP,,,cJSON_GetArrayItem,cJSON_PrintBuffered,0.279,-0.02,ABSTAIN,CONFLICT,STUB:cJSON_GetArrayItem,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1926 (index < 0 -> NULL; return get_array_item(array, index)). Rust src/cjson.rs:1243 cJSON_GetArrayItem(array, index: i32) is a one-line STUB returning None (no index check, no get_array_item call); correspondence by exact name and (array, i32 index) signature. No other Rust fn wraps get_array_item (grep: get_array_item has zero callers). Rejected matcher_forced=cJSON_PrintBuffered (src/cjson.rs:2146): print-buffer setup + print_value."
get_object_item,cJSON.c,1936,"(object: const cJSON *const, name: const char *const, case_sensitive: const cJSON_bool) -> cJSON *",,,NO_MAP,,,get_object_item,get_object_item,0.457,0.097,get_object_item,single-source,get_object_item,"C cJSON.c:1936. Rust src/cjson.rs:1170: (object None || name None) -> None; then (after an unconditional early return None, degenerate) the retained code walks object.child with case_sensitive branch comparing name != elem.string, else case_insensitive_strcmp(name, elem) != 0, returning the element. Body match; called from cJSON_GetObjectItem/CaseSensitive and cJSON_Compare exactly as in C."
cJSON_GetObjectItem,cJSON.c,1968,"(object: const cJSON *const, string: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_GetObjectItem,cJSON_GetObjectItem,0.499,0.051,cJSON_GetObjectItem,single-source,cJSON_GetObjectItem,"C cJSON.c:1968 (get_object_item(object, string, false)). Rust src/cjson.rs:1741 get_object_item(object, string, 0). Body match."
cJSON_GetObjectItemCaseSensitive,cJSON.c,1973,"(object: const cJSON *const, string: const char *const) -> cJSON *",,,NO_MAP,,,cJSON_GetObjectItemCaseSensitive,cJSON_AddItemToArray,0.215,-0.233,ABSTAIN,CONFLICT,cJSON_GetObjectItemCaseSensitive,"C cJSON.c:1973 (get_object_item(object, string, true)). Rust src/cjson.rs:1747 get_object_item(object, string, 1). Body match. Rejected matcher_forced=cJSON_AddItemToArray (src/cjson.rs:2006): stub returning 0."
cJSON_HasObjectItem,cJSON.c,1978,"(object: const cJSON *, string: const char *) -> cJSON_bool",,,NO_MAP,,,cJSON_HasObjectItem,cJSON_HasObjectItem,0.519,0.082,cJSON_HasObjectItem,single-source,cJSON_HasObjectItem,"C cJSON.c:1978 (cJSON_GetObjectItem(...) ? 1 : 0). Rust src/cjson.rs:1956: if cJSON_GetObjectItem(object, string).is_some() {1} else {0}. Body match."
suffix_object,cJSON.c,1984,"(prev: cJSON *, item: cJSON *) -> void",,,NO_MAP,,,suffix_object,cJSON_CreateFalse,0.315,-0.054,ABSTAIN,CONFLICT,STUB:suffix_object,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:1984 (prev->next = item; item->prev = prev). Rust src/cjson.rs:546 suffix_object(prev, item): matches (Some,Some) and comments 'prev->next = item; item->prev = prev' but deliberately performs no link writes (degenerate no-op). Name, params and the quoted C body establish correspondence; no other Rust fn writes both prev.next and item.prev. Rejected matcher_forced=cJSON_CreateFalse (src/cjson.rs:1568): stub returning None."
create_reference,cJSON.c,1991,"(item: const cJSON *, hooks: const internal_hooks *const) -> cJSON *",,,NO_MAP,,,create_reference,create_reference,0.409,0.065,create_reference,single-source,create_reference,"C cJSON.c:1991 (NULL -> NULL; New_Item(hooks); memcpy; string = NULL; type |= cJSON_IsReference; next = prev = NULL). Rust src/cjson.rs:1700: None -> None, cJSON_New_Item(hooks), field-by-field copy, reference.string = None, type_ |= 256, next/prev = None. Body match."
add_item_to_array,cJSON.c,2012,"(array: cJSON *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,add_item_to_array,add_item_to_array,0.266,-0.062,ABSTAIN,single-source,add_item_to_array,"C cJSON.c:2012. Rust src/cjson.rs:1893: (item None || array None) -> 0, ptr-eq(array,item) -> 0, if array.child is None branch ('array->child = item; item->prev = item; item->next = NULL' quoted) else if child.prev.is_some() branch (suffix_object quoted), returns 1. Body match (degenerate: drops the Box instead of linking)."
cJSON_AddItemToArray,cJSON.c,2046,"(array: cJSON *, item: cJSON *) -> cJSON_bool",,,NO_MAP,,,cJSON_AddItemToArray,cJSON_DetachItemFromArray,0.222,-0.151,ABSTAIN,CONFLICT,STUB:cJSON_AddItemToArray,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2046 (return add_item_to_array(array, item)). Rust src/cjson.rs:2006 cJSON_AddItemToArray(array, item: Option<Box<cJSON>>) is a STUB returning 0 ('Default return as required for stubs'); correspondence by exact name and signature. No other Rust fn is a thin wrapper over add_item_to_array (its callers are add_item_to_object only). Rejected matcher_forced=cJSON_DetachItemFromArray (src/cjson.rs:1869): stub returning None, named for DetachItemFromArray."
cast_away_const,cJSON.c,2058,(string: const void *) -> void *,,,NO_MAP,,,cast_away_const,cast_away_const,0.43,0.036,cast_away_const,single-source,STUB:cast_away_const,"STUB (placeholder body, correspondence by name/signature/doc only): C cJSON.c:2058 ((void*)string). Rust src/cjson.rs:574 generic Option<&T> -> Option<&mut T> that always returns None (cannot cast in safe Rust); called from CreateObjectReference/CreateArrayReference/add_item_to_object exactly where C calls cast_away_const. Body/role match (degenerate)."
add_item_to_object,cJSON.c,2067,"(object: cJSON *const, string: const char *const, item: cJSON *const, hooks: const internal_hooks *const, constant_key: const cJSON_bool) -> cJSON_bool",,,NO_MAP,,,add_item_to_object,add_item_to_object,0.413,0.055,add_item_to_object,single-source,add_item_to_object,"C cJSON.c:2067. Rust src/cjson.rs:2043: null checks, constant_key branch calling cast_away_const and new_type = type | 512, else cjson_strdup(string, hooks) with None -> 0 and new_type = type & !512, the '(type & 512)==0 && string != NULL' block, item.string = new_key, item.type_ = new_type, return add_item_to_array(object, item). Body match."
