c_function,c_file,c_line,c_signature,tool_claim,tool_claim_resolved,tool_claim_status,tool_claim_defined_in_rust,tool_verifi_tag,name_eq,matcher_forced,matcher_forced_score,matcher_forced_conf,matcher_deploy,prior,truth,truth_note
quadtree_point_new,point.c,4,"(x: double, y: double) -> quadtree_point_t *",quadtree_point_new,quadtree_point_new,CLAIMED,yes,No_Fix_Compile_Success,quadtree_point_new,quadtree_point_new,0.363,0.006,ABSTAIN,unanimous,quadtree_point_new,point.c:4 -> src/point.rs:3
quadtree_point_free,point.c,14,(point: quadtree_point_t *) -> void,,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,point.c:14 free(point); elided
node_contains_,quadtree.c,18,"(outer: quadtree_node_t *, it: quadtree_point_t *) -> int",node_contains_,node_contains_,CLAIMED,yes,No_Fix_Compile_Success,node_contains_,node_contains_,0.489,0.122,node_contains_,unanimous,node_contains_,"quadtree.c:18 -> src/quadtree.rs:29, same four bound comparisons on bounds.nw/se"
elision_,quadtree.c,27,(key: void *) -> void,,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,quadtree.c:27 empty static key_free stub; elided (no caller survives in Rust)
reset_node_,quadtree.c,30,"(tree: quadtree_t *, node: quadtree_node_t *) -> void",,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,"quadtree.c:30 static wrapper around quadtree_node_reset; elided, its only call site (insert_ C line 104) has no Rust counterpart"
get_quadrant_,quadtree.c,39,"(root: quadtree_node_t *, point: quadtree_point_t *) -> quadtree_node_t *",get_quadrant_,get_quadrant_,CLAIMED,yes,Fixed_1_Compile_Success,get_quadrant_,get_quadrant_,0.584,0.168,get_quadrant_,unanimous,get_quadrant_,"quadtree.c:39 -> src/quadtree.rs:39, node_contains_ over nw/ne/sw/se"
split_node_,quadtree.c,49,"(tree: quadtree_t *, node: quadtree_node_t *) -> int",,,NO_RECORD,,,split_node_,split_node_,0.399,0.054,split_node_,single-source,split_node_,"quadtree.c:49 -> src/quadtree.rs:131 (no map record for this C fn; PtrTrans lists it under insert_'s record): four quadtree_node_with_bounds calls with the same x/y/hw/hh arithmetic, then re-insert of old point/key"
find_,quadtree.c,81,"(node: quadtree_node_t *, x: double, y: double) -> quadtree_point_t *",find_,find_,CLAIMED,yes,No_Fix_Compile_Success,find_,find_,0.487,0.103,find_,unanimous,find_,"quadtree.c:81 -> src/quadtree.rs:74: isleaf -> compare point, else get_quadrant_ + recurse"
insert_,quadtree.c,97,"(tree: quadtree_t *, root: quadtree_node_t *, point: quadtree_point_t *, key: void *) -> int",insert_;split_node_,insert_,CLAIMED,yes,Fixed_2_Compile_Success,insert_,insert_,0.419,0.027,insert_,unanimous,insert_,"quadtree.c:97 -> src/quadtree.rs:95: isempty/isleaf/ispointer branches; PtrTrans record lists 'insert_;split_node_' but split_node_ is a separate Rust fn (quadtree.rs:131), so insert_ maps 1:1 to insert_, not SPLIT"
quadtree_new,quadtree.c,123,"(minx: double, miny: double, maxx: double, maxy: double) -> quadtree_t *",quadtree_new,quadtree_new,CLAIMED,yes,No_Fix_Compile_Success,quadtree_new,quadtree_new,0.376,0.058,quadtree_new,unanimous,quadtree_new,quadtree.c:123 -> src/quadtree.rs:59
quadtree_insert,quadtree.c,136,"(tree: quadtree_t *, x: double, y: double, key: void *) -> int",quadtree_insert,quadtree_insert,CLAIMED,yes,Fixed_2_Compile_Success,quadtree_insert,quadtree_insert,0.474,0.109,quadtree_insert,unanimous,quadtree_insert,"quadtree.c:136 -> src/quadtree.rs:163: point new, node_contains_ check, insert_, length+=1"
quadtree_search,quadtree.c,146,"(tree: quadtree_t *, x: double, y: double) -> quadtree_point_t *",quadtree_search,quadtree_search,CLAIMED,yes,Fixed_1_Compile_Success,quadtree_search,quadtree_search,0.591,0.226,quadtree_search,unanimous,quadtree_search,"quadtree.c:146 -> src/quadtree.rs:160: find_(tree.root,x,y)"
quadtree_free,quadtree.c,151,(tree: quadtree_t *) -> void,,,ELIDED,,,,,,,NONE,tool-says-elided,NONE,"quadtree.c:151 free tree; elided, no Drop impl"
quadtree_walk,quadtree.c,161,"(root: quadtree_node_t *, descent: void (*)(quadtree_node_t *), ascent: void (*)(quadtree_node_t *)) -> void",quadtree_walk,quadtree_walk,CLAIMED,yes,No_Fix_Compile_Success,quadtree_walk,quadtree_walk,0.271,-0.021,ABSTAIN,unanimous,quadtree_walk,"quadtree.c:161 -> src/quadtree.rs:3: descent, recurse nw/ne/sw/se, ascent"
